id,title,description,price,currency,product_url,image_url,brand,category
1,CBT for Seniors: A 90-Day Text-Based Workbook,"A science-backed workbook to improve mental wellness, emotional resilience, and daily calm for older adults.",5.99,USD,https://www.amazon.com/dp/B0FNKHCKWR,https://m.media-amazon.com/images/I/712KO8pHLAL._SL1500_.jpg,Marius Andronie,Books > Self-Help
2,The Florida Flesh-Eaters: A True Crime Horror Short,"A gripping true crime horror story based on real events — short, intense, and unforgettable.",2.99,USD,https://www.amazon.com/dp/B0FNNNXJYX,https://m.media-amazon.com/images/I/61Hffc7Q9OL._SL1500_.jpg,Marius Andronie,Books > Horror
3,The 90-Day Gratitude Mind Reset,"A science-backed writing system to rewire your brain for calm, clarity, and lasting mental wellness through daily gratitude.",4.99,USD,https://www.amazon.com/dp/B0FNKRWZNV,https://m.media-amazon.com/images/I/71y0xIVXqoL._SL1500_.jpg,Marius Andronie,Books > Mental Health
4,After My Pet's Passing: A 90-Day Guided Grief Workbook for Cat Owners,Healing after the loss of your beloved cat. Science-backed prompts and emotional support to honor your journey.,4.99,USD,https://www.amazon.com/dp/B0FNM97111,https://m.media-amazon.com/images/I/715DcJl8ywL._SL1500_.jpg,Marius Andronie,Books > Grief & Loss
5,Biblical Financial Principles: A 12-Week Bible Study,"Discover God’s plan for money, debt, and generosity through practical weekly lessons and scriptural wisdom.",8.99,USD,https://www.amazon.com/dp/B0FNS4VKL6,https://m.media-amazon.com/images/I/61tZXNov+OL._SL1500_.jpg,Marius Andronie,Books > Christian Living
6,The Off-Grid Survival Handbook,"Learn self-sufficiency, energy independence, and resilient living. Practical skills to survive, thrive, and achieve true freedom.",3.99,USD,https://www.amazon.com/dp/B0FP2RR4KZ,https://m.media-amazon.com/images/I/91ltWkoagDL._SL1500_.jpg,Marius Andronie,Books > Survival
7,Financial Freedom Roadmap,"Step-by-step money management for single parents — budgeting, debt payoff, emergency funds, and building wealth on one income.",9.99,USD,https://www.amazon.com/dp/B0FNKRX6T9,https://m.media-amazon.com/images/I/71ek0XLXXdL._SL1500_.jpg,Marius Andronie,Books > Personal Finance
8,After My Pet's Passing: A 90-Day Text-Based Grief Journal for Dog Owners,A compassionate journal to help dog owners heal after loss with guided prompts and emotional support.,4.99,USD,https://www.amazon.com/dp/B0FNMBMX6X,https://m.media-amazon.com/images/I/7188VO1JTBL._SL1499_.jpg,Marius Andronie,Books > Grief & Loss
9,The Homeschool Harmony Planner,"Undated 12-month organizer for busy families — curriculum mapping, compliance logs, special needs resources, and educator wellness.",17.99,USD,https://www.amazon.com/dp/B0FNCJ5F9P,https://m.media-amazon.com/images/I/51tIoQZA4FL._SL1293_.jpg,Marius Andronie,Books > Education
10,Monthly Budget Planner and Financial Organizer,"Track expenses, pay off debt, build savings. Includes 52-week challenge, debt snowball, net worth tracker, and more.",12.99,USD,https://www.amazon.com/dp/B0FNLCKPJ3,https://m.media-amazon.com/images/I/51V50pF-q-L._SL1293_.jpg,Marius Andronie,Books > Finance
